Date,NSEI,BSESN,INDIAVIX
2020-03-31,8597.75,29468.490234375,64.41000366210938
2020-04-01,8253.7998046875,28265.310546875,60.04999923706055
2020-04-03,8083.7998046875,27590.94921875,55.29999923706055
2020-04-07,8792.2001953125,30067.2109375,51.79999923706055
2020-04-08,8748.75,29893.9609375,52.2400016784668
2020-04-09,9111.900390625,31159.619140625,49.75
2020-04-13,8993.849609375,30690.01953125,51.459999084472656
2020-04-15,8925.2998046875,30379.810546875,49.7400016784668
2020-04-16,8992.7998046875,30602.609375,46.099998474121094
2020-04-17,9266.75,31588.720703125,42.59000015258789
2020-04-20,9261.849609375,31648.0,43.459999084472656
2020-04-21,8981.4501953125,30636.7109375,45.20000076293945
2020-04-22,9187.2998046875,31379.55078125,42.81999969482422
2020-04-23,9313.900390625,31863.080078125,39.22999954223633
2020-04-24,9154.400390625,31327.220703125,39.119998931884766
2020-04-27,9282.2998046875,31743.080078125,38.040000915527344
2020-04-28,9380.900390625,32114.51953125,35.349998474121094
2020-04-29,9553.349609375,32720.16015625,33.84000015258789
2020-04-30,9859.900390625,33717.62109375,33.9900016784668
2020-05-04,9293.5,31715.349609375,43.66999816894531
2020-05-05,9205.599609375,31453.509765625,43.61000061035156
2020-05-06,9270.900390625,31685.75,41.25
2020-05-07,9199.0498046875,31443.380859375,39.93000030517578
2020-05-08,9251.5,31642.69921875,38.40999984741211
2020-05-11,9239.2001953125,31561.220703125,38.040000915527344
2020-05-12,9196.5498046875,31371.119140625,38.209999084472656
2020-05-13,9383.5498046875,32008.609375,38.84000015258789
2020-05-14,9142.75,31122.890625,38.18000030517578
2020-05-15,9136.849609375,31097.73046875,38.02000045776367
2020-05-18,8823.25,30028.98046875,40.91999816894531
2020-05-19,8879.099609375,30196.169921875,39.45000076293945
2020-05-20,9066.5498046875,30818.609375,35.810001373291016
2020-05-21,9106.25,30932.900390625,32.9900016784668
2020-05-22,9039.25,30672.58984375,32.380001068115234
2020-05-26,9029.0498046875,30609.30078125,31.469999313354492
2020-05-27,9314.9501953125,31605.220703125,31.270000457763672
2020-05-28,9490.099609375,32200.58984375,30.020000457763672
2020-05-29,9580.2998046875,32424.099609375,30.219999313354492
2020-06-01,9826.150390625,33303.51953125,30.739999771118164
2020-06-02,9979.099609375,33825.53125,30.1200008392334
2020-06-03,10061.5498046875,34109.5390625,30.040000915527344
2020-06-04,10029.099609375,33980.69921875,29.690000534057617
2020-06-05,10142.150390625,34287.23828125,28.68000030517578
2020-06-08,10167.4501953125,34370.578125,29.649999618530273
2020-06-09,10046.650390625,33956.69140625,30.209999084472656
2020-06-10,10116.150390625,34247.05078125,29.440000534057617
2020-06-11,9902.0,33538.37109375,29.65999984741211
2020-06-12,9972.900390625,33780.890625,30.81999969482422
2020-06-15,9813.7001953125,33228.80078125,32.58000183105469
2020-06-16,9914.0,33605.21875,32.970001220703125
2020-06-17,9881.150390625,33507.921875,33.349998474121094
2020-06-18,10091.650390625,34208.05078125,31.459999084472656
2020-06-19,10244.400390625,34731.73046875,29.969999313354492
2020-06-22,10311.2001953125,34911.3203125,30.459999084472656
2020-06-23,10471.0,35430.4296875,29.34000015258789
2020-06-24,10305.2998046875,34868.98046875,29.579999923706055
2020-06-25,10288.900390625,34842.1015625,29.729999542236328
2020-06-26,10383.0,35171.26953125,28.739999771118164
2020-06-29,10312.400390625,34961.51953125,28.90999984741211
2020-06-30,10302.099609375,34915.80078125,29.1200008392334
2020-07-01,10430.0498046875,35414.44921875,28.1200008392334
2020-07-02,10551.7001953125,35843.69921875,26.510000228881836
2020-07-03,10607.349609375,36021.421875,25.770000457763672
2020-07-06,10763.650390625,36487.28125,25.200000762939453
2020-07-07,10799.650390625,36674.51953125,25.100000381469727
2020-07-08,10705.75,36329.01171875,26.100000381469727
2020-07-09,10813.4501953125,36737.69140625,24.90999984741211
2020-07-10,10768.0498046875,36594.328125,24.940000534057617
2020-07-13,10802.7001953125,36693.69140625,25.25
2020-07-14,10607.349609375,36033.05859375,26.639999389648438
2020-07-15,10618.2001953125,36051.80859375,26.290000915527344
2020-07-16,10739.9501953125,36471.6796875,25.360000610351562
2020-07-17,10901.7001953125,37020.140625,24.15999984741211
2020-07-20,11022.2001953125,37418.98828125,24.709999084472656
2020-07-21,11162.25,37930.328125,24.43000030517578
2020-07-22,11132.599609375,37871.51953125,24.889999389648438
2020-07-23,11215.4501953125,38140.46875,24.639999389648438
2020-07-24,11194.150390625,38128.8984375,24.540000915527344
2020-07-27,11131.7998046875,37934.73046875,25.020000457763672
2020-07-28,11300.5498046875,38492.94921875,23.639999389648438
2020-07-29,11202.849609375,38071.12890625,24.110000610351562
2020-07-30,11102.150390625,37736.0703125,24.729999542236328
2020-07-31,11073.4501953125,37606.890625,24.190000534057617
2020-08-03,10891.599609375,36939.6015625,25.190000534057617
2020-08-04,11095.25,37687.91015625,23.81999969482422
2020-08-05,11101.650390625,37663.328125,23.56999969482422
2020-08-06,11200.150390625,38025.44921875,23.149999618530273
2020-08-07,11214.0498046875,38040.5703125,22.579999923706055
2020-08-10,11270.150390625,38182.078125,22.510000228881836
2020-08-11,11322.5,38407.01171875,21.360000610351562
2020-08-12,11308.400390625,38369.62890625,20.850000381469727
2020-08-13,11300.4501953125,38310.48828125,20.56999969482422
2020-08-14,11178.400390625,37877.33984375,21.670000076293945
2020-08-17,11247.099609375,38050.78125,21.309999465942383
2020-08-18,11385.349609375,38528.3203125,20.43000030517578
2020-08-19,11408.400390625,38614.7890625,19.959999084472656
2020-08-20,11312.2001953125,38220.390625,20.6200008392334
2020-08-21,11371.599609375,38434.71875,19.940000534057617
2020-08-24,11466.4501953125,38799.078125,19.229999542236328
2020-08-25,11472.25,38843.87890625,19.31999969482422
2020-08-26,11549.599609375,39073.921875,19.299999237060547
2020-08-27,11559.25,39113.46875,18.899999618530273
2020-08-28,11647.599609375,39467.30859375,18.350000381469727
2020-08-31,11387.5,38628.2890625,22.84000015258789
2020-09-01,11470.25,38900.80078125,21.799999237060547
2020-09-02,11535.0,39086.03125,21.110000610351562
2020-09-03,11527.4501953125,38990.94140625,20.5
2020-09-04,11333.849609375,38357.1796875,22.149999618530273
2020-09-07,11355.0498046875,38417.23046875,22.010000228881836
2020-09-08,11317.349609375,38365.3515625,22.719999313354492
2020-09-09,11278.0,38193.921875,22.229999542236328
2020-09-10,11449.25,38840.3203125,21.260000228881836
2020-09-11,11464.4501953125,38854.55078125,20.709999084472656
2020-09-14,11440.0498046875,38756.62890625,21.190000534057617
2020-09-15,11521.7998046875,39044.3515625,20.600000381469727
2020-09-16,11604.5498046875,39302.8515625,19.65999984741211
2020-09-17,11516.099609375,38979.8515625,20.100000381469727
2020-09-18,11504.9501953125,38845.8203125,20.049999237060547
2020-09-21,11250.5498046875,38034.140625,22.190000534057617
2020-09-22,11153.650390625,37734.078125,21.40999984741211
2020-09-23,11131.849609375,37668.421875,20.989999771118164
2020-09-24,10805.5498046875,36553.6015625,23.510000228881836
2020-09-25,11050.25,37388.66015625,20.68000030517578
2020-09-28,11227.5498046875,37981.62890625,19.56999969482422
2020-09-29,11222.400390625,37973.21875,19.770000457763672
2020-09-30,11247.5498046875,38067.9296875,19.530000686645508
2020-10-01,11416.9501953125,38697.05078125,18.350000381469727
2020-10-05,11503.349609375,38973.69921875,19.700000762939453
2020-10-06,11662.400390625,39574.5703125,19.639999389648438
2020-10-07,11738.849609375,39878.94921875,20.059999465942383
2020-10-08,11834.599609375,40182.671875,20.3799991607666
2020-10-09,11914.2001953125,40509.48828125,20.3799991607666
2020-10-12,11930.9501953125,40593.80078125,21.1299991607666
2020-10-13,11934.5,40625.51171875,20.719999313354492
2020-10-14,11971.0498046875,40794.73828125,20.209999084472656
2020-10-15,11680.349609375,39728.41015625,22.059999465942383
2020-10-16,11762.4501953125,39982.98046875,21.649999618530273
2020-10-19,11873.0498046875,40431.6015625,21.81999969482422
2020-10-20,11896.7998046875,40544.37109375,22.690000534057617
2020-10-21,11937.650390625,40707.30859375,22.920000076293945
2020-10-22,11896.4501953125,40558.48828125,22.639999389648438
2020-10-23,11930.349609375,40685.5,21.829999923706055
2020-10-26,11767.75,40145.5,22.829999923706055
2020-10-27,11889.400390625,40522.1015625,22.200000762939453
2020-10-28,11729.599609375,39922.4609375,23.280000686645508
2020-10-29,11670.7998046875,39749.8515625,24.020000457763672
2020-10-30,11642.400390625,39614.0703125,24.75
2020-11-02,11669.150390625,39757.578125,25.209999084472656
2020-11-03,11813.5,40261.12890625,24.239999771118164
2020-11-04,11908.5,40616.140625,23.200000762939453
2020-11-05,12120.2998046875,41340.16015625,20.969999313354492
2020-11-06,12263.5498046875,41893.05859375,20.5
2020-11-09,12461.0498046875,42597.4296875,20.110000610351562
2020-11-10,12631.099609375,43277.6484375,21.579999923706055
2020-11-11,12749.150390625,43593.671875,22.030000686645508
2020-11-12,12690.7998046875,43357.19140625,20.6200008392334
2020-11-13,12719.9501953125,43443.0,19.700000762939453
2020-11-17,12874.2001953125,43952.7109375,19.799999237060547
2020-11-18,12938.25,44180.05078125,19.1200008392334
2020-11-19,12771.7001953125,43599.9609375,19.56999969482422
2020-11-20,12859.0498046875,43882.25,19.6200008392334
2020-11-23,12926.4501953125,44077.1484375,20.799999237060547
2020-11-24,13055.150390625,44523.01953125,21.059999465942383
2020-11-25,12858.400390625,43828.1015625,23.1299991607666
2020-11-26,12987.0,44259.73828125,20.020000457763672
2020-11-27,12968.9501953125,44149.71875,19.81999969482422
2020-12-01,13109.0498046875,44655.44140625,20.18000030517578
2020-12-02,13113.75,44618.0390625,19.90999984741211
2020-12-03,13133.900390625,44632.6484375,19.0
2020-12-04,13258.5498046875,45079.55078125,18.030000686645508
2020-12-07,13355.75,45426.96875,18.020000457763672
2020-12-08,13392.9501953125,45608.51171875,18.6200008392334
2020-12-09,13529.099609375,46103.5,18.920000076293945
2020-12-10,13478.2998046875,45959.87890625,18.709999084472656
2020-12-11,13513.849609375,46099.01171875,18.790000915527344
2020-12-14,13558.150390625,46253.4609375,19.399999618530273
2020-12-15,13567.849609375,46263.171875,19.350000381469727
2020-12-16,13682.7001953125,46666.4609375,19.200000762939453
2020-12-17,13740.7001953125,46890.33984375,19.15999984741211
2020-12-18,13760.5498046875,46960.69140625,18.6200008392334
2020-12-21,13328.400390625,45553.9609375,23.190000534057617
2020-12-22,13466.2998046875,46006.69140625,21.989999771118164
2020-12-23,13601.099609375,46444.1796875,20.5
2020-12-24,13749.25,46973.5390625,19.969999313354492
2020-12-28,13873.2001953125,47353.75,20.43000030517578
2020-12-29,13932.599609375,47613.078125,20.790000915527344
2020-12-30,13981.9501953125,47746.21875,21.110000610351562
2020-12-31,13981.75,47751.328125,21.100000381469727
2021-01-04,14132.900390625,48176.80078125,20.030000686645508
